18:58:24.637	127.0.0.1:47522	admin	REQUEST	EXIT	0.37 ms
18:58:24.637	127.0.0.1:47522	admin	OK		0.23 ms
18:58:24.643	127.0.0.1:47524	admin	OK	QUERY[0] let $s := 3 for $c in doc('Ligas')/ligas/liga/clube where $c/idclube/text()=$s return for $d in $c//jogadores return $d	0.17 ms
18:58:24.647	127.0.0.1:47524	admin	OK	EXEC[0]	3.22 ms
18:58:24.647	127.0.0.1:47524	admin	OK	CLOSE[0]	0.04 ms
18:58:24.648	127.0.0.1:47524	admin	REQUEST	EXIT	0.33 ms
18:58:24.648	127.0.0.1:47524	admin	OK		0.16 ms
19:00:11.825	127.0.0.1:47534	admin	OK	QUERY[0] <clube> { let $id := 3 for $c in doc('Ligas')/ligas/liga/clube where $c/idclube/text()=$id return <club> <idclube>{$c/idclube/text()}</idclube> <nomeclube>{$c/nomeclube/text()}</nomeclube> <nomecompleto>{$c/nomecompleto/text()}</nomecompleto> <sigla>{$c/sigla/text()}</sigla> <pontos>{$c/pontos/text()}</pontos> <posicaoclube>{$c/posicaoclube/text()}</posicaoclube> <imagemclube>{$c/imagemclube/text()}</imagemclube> <vitorias>{$c/vitorias/text()}</vitorias> <empates>{$c/empates/text()}</empates> <derrotas>{$c/derrotas/text()}</derrotas> <golosmarcados>{$c/golosmarcados/text()}</golosmarcados> <golossofridos>{$c/golossofridos/text()}</golossofridos> <cidade>{$c/cidade/text()}</cidade> <estadio>{$c/estadio/text()}</estadio> <anofundacao>{$c/anofundacao/text()}</anofundacao> <presidente>{$c/presidente/text()}</presidente> <treinador>{$c/treinador/text()}</treinador> <liga>{$c/../idliga/text()}</liga> <nomeliga>{$c/../nomeliga/text()}</nomeliga> </club> }</clube>	0.13 ms
19:00:11.829	127.0.0.1:47534	admin	OK	EXEC[0]	3.86 ms
19:00:11.829	127.0.0.1:47534	admin	OK	CLOSE[0]	0.04 ms
19:00:11.829	127.0.0.1:47534	admin	REQUEST	EXIT	0.32 ms
19:00:11.829	127.0.0.1:47534	admin	OK		0.19 ms
19:00:11.831	127.0.0.1:47536	admin	OK	QUERY[0] let $s := 3 for $c in doc('Ligas')/ligas/liga/clube where $c/idclube/text()=$s return for $d in $c//jogadores return $d	0.14 ms
19:00:11.836	127.0.0.1:47536	admin	OK	EXEC[0]	4.41 ms
19:00:11.836	127.0.0.1:47536	admin	OK	CLOSE[0]	0.06 ms
19:00:11.837	127.0.0.1:47536	admin	REQUEST	EXIT	0.38 ms
19:00:11.837	127.0.0.1:47536	admin	OK		0.19 ms
